trace-length,enrichment-time,f1-time,f2-time
10000,5,8,11
20000,3,10,19
30000,7,14,32
40000,11,25,38
50000,9,28,73
60000,7,29,57
70000,10,36,72
80000,14,50,86
90000,10,44,99
100000,11,47,92
