seq-length,g3-time,g4-time
1,1064,956
2,977,927
3,1739,1721
4,1753,1752
5,2597,2560
6,2619,2652
7,3628,3663
8,3588,3595
9,4459,4404
10,4524,4560
11,5571,5622
12,5757,6095
13,6227,6279
14,6250,6213
15,7057,7120
16,7270,7339
17,7830,7981
18,7945,7970
19,9455,9154
20,9435,9253
